Time (Pacific/Honolulu),Conductivity unit,Temperature unit,af4s Conductivity,af4s pH,af4s Temperature
2019-04-29 17:06:00,EC,C,---,9.3,27
2019-04-29 17:07:00,EC,C,---,9.4,26
2019-04-29 17:08:00,EC,C,---,9.5,26
2019-04-29 17:09:00,EC,C,---,9.6,25
2019-04-29 17:10:00,EC,C,---,9.7,25
2019-04-29 17:11:00,EC,C,---,9.9,25
2019-04-29 17:12:00,EC,C,---,10.0,25
2019-04-29 17:13:00,EC,C,---,10.1,25
2019-04-29 17:14:00,EC,C,---,10.2,25
2019-04-29 17:15:00,EC,C,---,10.3,25
2019-04-29 17:16:00,EC,C,---,10.4,24
2019-04-29 17:17:00,EC,C,---,10.5,24
2019-04-29 17:18:00,EC,C,---,10.7,24
2019-04-29 17:19:00,EC,C,---,10.8,24
2019-04-29 17:20:00,EC,C,---,10.9,24
2019-04-29 17:21:00,EC,C,---,11.1,24
2019-04-29 17:22:00,EC,C,---,11.2,24
2019-04-29 17:23:00,EC,C,---,11.3,24
2019-04-29 17:24:00,EC,C,---,11.4,24
2019-04-29 17:25:00,EC,C,---,11.5,24
2019-04-29 17:26:00,EC,C,---,11.6,24
2019-04-29 17:27:00,EC,C,---,11.8,24
2019-04-29 17:28:00,EC,C,---,11.9,24
2019-04-29 17:29:00,EC,C,---,12.0,24
2019-04-29 17:30:00,EC,C,---,12.2,24
2019-04-29 17:31:00,EC,C,---,12.3,24
2019-04-29 17:32:00,EC,C,---,12.4,24
2019-04-29 17:33:00,EC,C,---,12.5,23
2019-04-29 17:34:00,EC,C,---,12.6,23
2019-04-29 17:35:00,EC,C,---,12.7,23
2019-04-29 17:36:00,EC,C,---,12.8,24
2019-04-29 17:37:00,EC,C,---,13.0,24
2019-04-29 17:38:00,EC,C,---,13.1,24
2019-04-29 17:39:00,EC,C,---,13.2,24
2019-04-29 17:40:00,EC,C,---,13.3,24
2019-04-29 17:41:00,EC,C,---,13.4,24
2019-04-29 17:42:00,EC,C,---,13.6,24
2019-04-29 17:43:00,EC,C,---,13.7,24
2019-04-29 17:44:00,EC,C,---,13.8,24
2019-04-29 17:45:00,EC,C,---,13.9,24
2019-04-29 17:46:00,EC,C,---,14.0,24
2019-04-29 17:47:00,EC,C,---,O/R,24
2019-04-29 17:48:00,EC,C,---,O/R,24
